"","model","species","covariates","WAIC","WAIC_p.eff","DIC","DIC_p.eff","DIC_mean.deviance","DIC_deviance.mean","log.marginal.likelihood","RSS"
"stats43","'-prec,grassland","Short-tailed weasel","Eastness, Northness, tavg, elev, trees, cropland, built, water","670.990198623488","233.882779879343","299.731853168761","60.8327762759546","238.899076892806","178.066300616851","-129.762344982262","375.408358809443"
"stats44","'-elev,grassland","Long-tailed weasel","Eastness, Northness, tavg, prec, trees, cropland, built, water","2330.09829663252","6.81350766264967","2029.33290934269","-221.479965300423","2250.81287464311","2472.29283994353","-1321.17328343142","1773.43111116477"
"stats45","'-trees,grassland","Short-tailed weasel","Eastness, Northness, tavg, prec, elev, cropland, built, water","1584.01258681198","669.99337317027","553.656962224639","185.84367995088","367.813282273759","181.969602322879","-137.080063615351","493.700046601306"
"stats46","'-grassland,cropland","Short-tailed weasel","Eastness, Northness, tavg, prec, elev, trees, built, water","842.762478357983","313.890671480931","335.826636586489","74.6082640015086","261.21837258498","186.610108583471","-139.401792120558","352.086026301588"
"stats47","'-grassland,built","Short-tailed weasel","Eastness, Northness, tavg, prec, elev, trees, cropland, water","779.977045804723","284.264854626564","322.830863548928","71.9005808622194","250.930282686709","179.029701824489","-129.630796800618","382.734672603395"
"stats48","'-grassland,water","Short-tailed weasel","Eastness, Northness, tavg, prec, elev, trees, cropland, built","426.742472312106","115.181488859321","273.070711806436","44.7289223624611","228.341789443975","183.612867081514","-134.092110590694","358.849088179487"
"stats49","'-grassland,eastness","Short-tailed weasel","Northness, tavg, prec, elev, trees, cropland, built, water","621.233096594948","184.127310882481","336.682360360912","55.6833065866927","280.999053774219","225.315747187526","-161.218261249991","403.939933364686"
"stats50","'-grassland,northness","Short-tailed weasel","Eastness, tavg, prec, elev, trees, cropland, built, water","298.25472318433","53.3793311650156","233.773874432857","27.002711711402","206.771162721455","179.768451010053","-137.601458433109","340.673002173384"
"stats51","'-tavg,water","Least weasel","Eastness, Northness, prec, elev, trees, grassland, cropland, built","116.030304444846","2.88577568508296","3.62521128059572","-67.8276178999543","71.45282918055","139.280447080504","-143.790216913122","86.0618967408903"
"stats52","'-prec,water","Least weasel","Eastness, Northness, tavg, elev, trees, grassland, cropland, built","117.915778399682","2.56485680078388","0.980689528813429","-70.3453913433896","71.326080872203","141.671472215593","-145.322116524392","85.9052631340512"
"stats53","'-elev,water","Long-tailed weasel","Eastness, Northness, tavg, prec, trees, grassland, cropland, built","2326.78288733654","6.61832551477158","2026.07061440656","-221.747387580881","2247.81800198744","2469.56538956832","-1318.88425772203","1772.13866443726"
"stats54","'-trees,water","Least weasel","Eastness, Northness, tavg, prec, elev, grassland, cropland, built","113.061969005065","1.81750473947616","3.74389419007062","-67.3309370433071","71.0748312333778","138.405768276685","-142.925408866071","85.5701528111646"
"stats55","'-grassland,water","Short-tailed weasel","Eastness, Northness, tavg, prec, elev, trees, cropland, built","426.742472312106","115.181488859321","273.070711806436","44.7289223624611","228.341789443975","183.612867081514","-134.092110590694","358.849088179487"
"stats56","'-cropland,water","Least weasel","Eastness, Northness, tavg, prec, elev, trees, grassland, built","115.669550894795","1.85833903676088","1.15348304899905","-69.813026365424","70.966509414423","140.779535779847","-145.903327234181","85.4064524956738"
"stats57","'-built,water","Least weasel","Eastness, Northness, tavg, prec, elev, trees, grassland, cropland","113.211104137295","1.76275759264356","3.47408607043019","-67.5790992662866","71.0531853367168","138.632284603003","-142.943631683273","85.5651117407973"
"stats58","'-water,eastness","Least weasel","Northness, tavg, prec, elev, trees, grassland, cropland, built","115.39508016405","2.78572414609227","4.08004798113868","-67.3587993815184","71.4388473626571","138.797646744176","-144.268768433327","86.0798516361069"
"stats59","'-water,northness","Least weasel","Eastness, tavg, prec, elev, trees, grassland, cropland, built","117.869642405619","2.7812589699506","1.67554649729124","-69.770056057382","71.4456025546733","141.215658612055","-145.392153880329","86.0219615516375"
"stats60","'-tavg,prec,grassland","Short-tailed weasel","Eastness, Northness, prec, elev, trees, cropland, built, water","250.721295286855","28.3037536617336","218.983043947654","14.9881543983309","203.994889549323","189.006735150992","-152.32061847437","335.410367955727"
"stats61","'-tavg,elev,grassland","Short-tailed weasel","Eastness, Northness, prec, trees, cropland, built, water","249.264861418991","28.3092918423724","214.418951529681","12.3420519790753","202.076899550606","189.73484757153","-138.608022835861","333.674517610097"
"stats62","'-tavg,trees,grassland","Short-tailed weasel","Eastness, Northness, prec, elev, cropland, built, water","259.569916093627","32.0704133316697","217.639742875759","12.4560243548005","205.183718520958","192.727694166158","-142.070126126757","336.086856521213"
"stats63","'-tavg,grassland,cropland","Short-tailed weasel","Eastness, Northness, prec, elev, trees, built, water","454.907208772185","126.499778997499","245.852524214673","23.5317276827776","222.320796531895","198.789068849118","-144.678080370894","306.446830717519"
"stats64","'-tavg,grassland,built","Short-tailed weasel","Eastness, Northness, prec, elev, trees, cropland, water","252.567014513083","28.7554314889439","213.187329203756","10.4778790111538","202.709450192602","192.231571181449","-133.960598809816","318.147929677215"
