dataSource,dataSource_secondary,sourceID,species,dataType,date,time,latitude,longitude,positionalError_meters,specificGeography,dataNotes
ODNR (Diversity Database),NA,21054,Least weasel,Museum specimen,11/28/1929,NA,41.5036,-84.4142,1414.21,,
ODNR (Diversity Database),NA,15273,Least weasel,Museum specimen,11/26/1929,NA,41.5586,-83.7331,1414.21,,
ODNR (Diversity Database),NA,11768,Least weasel,Museum specimen,11/16/1929,NA,40.9983,-83.665,S7,,
ODNR (Diversity Database),NA,11769,Least weasel,Museum specimen,12/27/1929,NA,40.9983,-83.665,S7,,
ODNR (Diversity Database),NA,21081,Least weasel,Museum specimen,11/26/1929,NA,41.3762,-83.6517,4828.03,,
ODNR (Diversity Database),NA,5806,Least weasel,Museum specimen,10/1/1929,NA,40.2885,-81.6831,1414.21,,
ODNR (Diversity Database),NA,13216,Least weasel,Museum specimen,12/6/1929,NA,41.6291,-81.3617,1414.21,,
ODNR (Diversity Database),NA,13262,Least weasel,Museum specimen,12/6/1929,NA,41.6291,-81.3072,1609.34,,
ODNR (Diversity Database),NA,11770,Least weasel,Museum specimen,1/2/1930,NA,40.9983,-83.665,S7,,
ODNR (Diversity Database),NA,11771,Least weasel,Museum specimen,1/5/1930,NA,40.9983,-83.665,S7,,
ODNR (Diversity Database),NA,11772,Least weasel,Museum specimen,1/12/1930,NA,40.9983,-83.665,S7,,
ODNR (Diversity Database),NA,11773,Least weasel,Museum specimen,2/1/1930,NA,40.9983,-83.665,S7,,
ODNR (Diversity Database),NA,21082,Least weasel,Museum specimen,1/12/1930,NA,41.3762,-83.6517,4828.03,,
ODNR (Diversity Database),NA,21083,Least weasel,Museum specimen,3/29/1930,NA,41.3762,-83.6517,4828.03,,
ODNR (Diversity Database),NA,21084,Least weasel,Museum specimen,11/17/1930,NA,41.3762,-83.6517,4828.03,,
ODNR (Diversity Database),NA,21085,Least weasel,Museum specimen,12/10/1930,NA,41.3762,-83.6517,4828.03,,
ODNR (Diversity Database),NA,11712,Least weasel,Museum specimen,3/15/1930,NA,40.915,-83.6503,4828.03,,
ODNR (Diversity Database),NA,21156,Least weasel,Museum specimen,2/17/1930,NA,41.2983,-83.5906,4828.03,,
